question,Total,Cyprus,New Zealand,Singapore,Sweden,How proud of nationality
Very proud,48.5,47.2,63.1,48.4,39.7,
Quite proud,38.6,40.2,26.3,40.9,41.9,
Not very proud,7.5,7.2,1.9,9.1,9.2,
Not at all proud,1.6,1.5,1.3,1.4,2.3,
I am not [nationality],2.5,2.9,5,0.1,4.1,
"DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing",0.2,0,0,0,0.9,
No answer,0.4,0,1.8,0,0.5,
Don´t know,0.7,1.1,0.6,0,1.5,
