question,Total,Cyprus,New Zealand,Singapore,Sweden,Justifiable: Sex before marriage
Never justifiable,14.6,15.5,9.5,22.9,3.6,
2,5.7,2.7,2.5,11.4,0.9,
3,6.8,3.5,3.4,13.5,1,
4,4.9,1.8,1.8,9.8,1.4,
5,15,15.2,12.5,22.8,3.7,
6,5.2,5.8,5.7,6.9,1.8,
7,5.6,7,7.3,5.8,2.9,
8,7.7,10.5,16.1,3.8,5.9,
9,4.4,7.6,9.6,1,3.7,
Always justifiable,27.8,27.6,26.4,1.8,71.4,
"DE,EC,SE:Inapplicable ; RU:Inappropriate response; Missing",0.1,0,0,0.1,0.1,
No answer,0.6,0,2,0,1,
Don´t know,1.8,2.8,3.2,0,2.7,
